año,población,Huella Urbana,Área protegida,Area disponible,Viviendas (ocupadas),Viviendas (total)
1980,3753117,16532.92,300.0,147067.08,749933.0,778545.0
1981,3876219,17369.79,322.94,146230.21,773682.0,803200.0
1982,4000258,18206.65,345.89,145393.35,798184.0,828637.0
1983,4125066,19043.52,368.83,144556.48,823461.0,854878.0
1984,4250881,19880.39,391.78,143719.61,849539.0,881951.0
1985,4376707,21210.0,414.72,142390.0,876443.0,909881.0
1986,4503632,21498.56,532.92,142101.44,904198.0,938696.0
1987,4629733,22073.12,701.58,141526.88,932833.0,968423.0
1988,4755662,22878.1,909.97,140721.9,962374.0,999091.0
1989,4882163,23857.99,1147.46,139742.01,992851.0,1030731.0
1990,5009197,24957.27,1403.41,138642.73,1024294.0,1063373.0
1991,5135929,26120.0,1666.74,137480.0,1056731.0,1097048.0
1992,5263300,27291.97,1928.14,136308.03,1090197.0,1131790.0
1993,5390988,28416.37,2175.64,135183.63,1124722.0,1167633.0
1994,5518215,29438.11,2399.04,134161.89,1160340.0,1204610.0
1995,5645134,30301.68,2587.7,133298.32,1197086.0,1242758.0
1996,5771303,30951.58,2731.0,132648.42,1234996.0,1282114.0
1997,5894809,31334.0,2820.0,132266.0,1274107.0,1322717.0
1998,6017421,31428.02,2845.87,132171.98,1314456.0,1364606.0
1999,6137769,31381.96,2837.99,132218.04,1356083.0,1407821.0
2000,6255614,31375.0,2823.81,132225.0,1399028.0,1452404.0
2001,6370718,31557.14,2834.3,132042.86,1443333.0,1498400.0
2002,6484116,31910.66,2863.54,131689.34,1489041.0,1545852.0
2003,6593050,32386.92,2907.44,131213.08,1536197.0,1594807.0
2004,6695901,32935.28,2959.85,130664.72,1584846.0,1645312.0
2005,6790992,33506.0,3015.54,130094.0,1623639.0,1685585.0
2006,6873842,34051.9,3066.57,129548.1,1672423.0,1740722.0
2007,6945389,34555.51,3113.42,129044.49,1722999.0,1799363.0
2008,7009432,35001.94,3153.88,128598.06,1775256.0,1861260.0
2009,7062402,35377.19,3186.6,128222.81,1829766.0,1926554.0
2010,7102952,35667.0,3210.0,127933.0,1886437.0,1994405.0
2011,7136774,35864.19,3224.27,127735.81,1943949.0,2062529.0
2012,7169750,35984.28,3231.16,127615.72,2001123.0,2128865.0
2013,7201046,36049.86,3234.18,127550.14,2057901.0,2192811.0
2014,7233450,36083.27,3236.62,127516.73,2114913.0,2254863.0
2015,7268171,36106.86,3241.74,127493.14,2173003.0,2316061.0
2016,7304512,36143.0,3252.87,127457.0,2235179.0,2379951.0
2017,7352743,36213.94,3273.16,127386.06,2302699.0,2448287.0
2018,7428317,36342.11,3306.01,127257.89,2385069.0,2531552.0
2019,7615712,36549.83,3354.64,127050.17,2485644.0,2633586.0
2020,7760096,36859.44,3422.33,126740.56,2580652.0,2729436.0
2021,7839641,37293.27,3512.36,126306.73,2662414.0,2811251.0
2022,7889727,37873.68,3628.0,125726.32,2738231.0,2886949.0
2023,7923763,38623.0,3772.52,124977.0,2814250.0,2963121.0
2024,7946067,39563.58,3949.21,124036.42,2894552.0,3044109.0
